연도,국가명,구분,계,적,공
2021,라이베리아,입항,29.0,29.0,0.0
2021,라트비아,입항,11288.0,11287.0,1.0
2021,러시아,입항,143904.75,44973.0,98931.75
2021,레바논,입항,1254.0,1084.0,170.0
2021,레위니옹,입항,25.0,23.0,2.0
2021,루마니아,입항,6350.5,2863.5,3487.0
2021,리비아,입항,404.0,404.0,0.0
2021,리투아니아,입항,4620.25,3911.25,709.0
2021,마다가스카르,입항,101.0,101.0,0.0
2021,마르티니크,입항,6.0,6.0,0.0
2021,마샬 제도,입항,4858.0,76.0,4782.0
2021,말레이시아,입항,96223.25,63991.0,32232.25
2021,멕시코,입항,100306.5,34263.0,66043.5
2021,모로코,입항,3379.0,2374.0,1005.0
2021,모리셔스,입항,118.0,118.0,0.0
2021,모리타니,입항,303.0,303.0,0.0
2021,모잠비크,입항,1139.0,1139.0,0.0
2021,몬테네그로,입항,1444.0,1444.0,0.0
2021,몰타,입항,1537.25,96.0,1441.25
2021,미국,입항,735726.75,454933.0,280793.75
2021,미얀마,입항,4132.0,4124.0,8.0
2021,미크로네시아,입항,131.0,82.0,49.0
2021,바누아투,입항,1879.0,10.0,1869.0
2021,바레인,입항,2588.0,2588.0,0.0
2021,바하마,입항,3.0,3.0,0.0
2021,방글라데시,입항,7320.0,7162.0,158.0
2021,베냉,입항,27.0,13.0,14.0
2021,베네수엘라,입항,381.0,381.0,0.0
2021,베트남,입항,164976.0,149752.0,15224.0
2021,벨기에,입항,43211.0,40874.0,2337.0
2021,북마리아나 제도,입항,9795.5,174.0,9621.5
2021,불가리아,입항,914.25,908.25,6.0
2021,브라질,입항,38115.0,27605.0,10510.0
2021,브루나이,입항,22.0,19.0,3.0
2021,사모아,입항,2644.0,22.0,2622.0
2021,사우디아라비아,입항,22533.75,7517.0,15016.75
2021,세네갈,입항,1194.0,1177.0,17.0
2021,세르비아,입항,2.0,2.0,0.0
2021,세이셸,입항,103.0,103.0,0.0
2021,세인트루시아,입항,8.0,8.0,0.0
2021,소말리아,입항,34.0,1.0,33.0
