연도,국가명,수입,수출,환적,전체물동량
2022,러시아,136597.0,143859.0,354351.25,634807.25
2022,레바논,904.0,2059.0,2512.75,5475.75
2022,레위니옹,33.0,141.0,166.0,340.0
2022,루마니아,5382.0,2260.0,11989.75,19631.75
2022,리비아,523.0,2913.0,1632.75,5068.75
2022,리투아니아,2049.0,930.0,1561.0,4540.0
2022,마다가스카르,345.0,160.0,541.0,1046.0
2022,마르티니크,17.0,45.0,429.0,491.0
2022,마샬 제도,4827.0,262.0,970.0,6059.0
2022,마요트,0.0,3.0,20.0,23.0
2022,마카오,1.0,2.0,7.0,10.0
2022,말레이시아,94098.75,88789.5,127536.5,310424.75
2022,멕시코,102146.5,177809.0,363015.75,642971.25
2022,모로코,2755.0,2146.0,4745.25,9646.25
2022,모리셔스,366.0,145.0,427.0,938.0
2022,모리타니,354.0,99.0,461.5,914.5
2022,모잠비크,1133.0,873.0,2221.0,4227.0
2022,몬세라트,0.0,0.0,0.0,0.0
2022,몬테네그로,1400.0,29.0,84.0,1513.0
2022,몰디브,4.0,75.0,425.0,504.0
2022,몰타,931.0,758.0,1640.25,3329.25
2022,미국,784513.25,924209.25,1686186.0,3394908.5
2022,미국령 버진아일랜드,0.0,7.0,104.0,111.0
2022,미얀마,3754.0,504.0,3140.0,7398.0
2022,미크로네시아,190.0,332.0,1224.0,1746.0
2022,바누아투,2028.0,261.0,4089.0,6378.0
2022,바레인,2790.0,424.0,1093.0,4307.0
2022,바베이도스,1.0,40.0,2352.0,2393.0
2022,바하마,1292.0,8765.0,68463.75,78520.75
2022,방글라데시,7794.0,3833.5,8208.0,19835.5
2022,베냉,102.0,32.0,701.0,835.0
2022,베네수엘라,880.0,441.0,12851.0,14172.0
2022,베트남,162114.75,238725.5,257122.5,657962.75
2022,벨기에,43754.0,22620.75,28320.5,94695.25
2022,벨리즈,4.0,41.0,754.0,799.0
2022,북마리아나 제도,4528.5,1019.5,1909.25,7457.25
2022,불가리아,1327.0,206.0,2006.25,3539.25
2022,브라질,46956.0,56535.0,131611.0,235102.0
2022,브루나이,10.0,22.0,73.0,105.0
2022,사모아,1106.0,187.0,3058.0,4351.0
